Sample   ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
      236,0.762     ,0.60      ,0.333     ,0.0641    ,     10000
      237,0.921     ,-1.19     ,0.101     ,0.0695    ,     10000
      238,0.889     ,0.99      ,0.333     ,0.0565    ,     10000
      239,0.571     ,2.38      ,0.166     ,0.0489    ,     10000
      240,0.762     ,1.79      ,0.243     ,0.0369    ,     10000
      241,0.778     ,-1.98     ,0.204     ,0.0532    ,     10000
      242,0.603     ,-0.79     ,0.333     ,0.0173    ,     10000
      243,0.683     ,-0.79     ,0.037     ,0.0402    ,     10000
      244,0.619     ,-1.19     ,0.320     ,0.0521    ,     10000
      245,0.841     ,-1.59     ,0.191     ,0.0554    ,     10000
      246,0.714     ,-1.19     ,0.281     ,0.0456    ,     10000
      247,0.873     ,5.16      ,0.384     ,0.0619    ,     10000
      248,0.905     ,0.99      ,0.410     ,0.0706    ,     10000
      249,0.540     ,-2.98     ,0.281     ,0.0478    ,     10000
      250,0.508     ,0.00      ,0.423     ,0.0293    ,     10000
      251,0.587     ,1.59      ,0.269     ,0.0489    ,     10000
      252,0.794     ,0.00      ,0.436     ,0.0260    ,     10000
      253,0.937     ,-0.60     ,0.294     ,0.0445    ,     10000
      254,0.810     ,-0.40     ,0.140     ,0.0402    ,     10000
      255,0.667     ,2.98      ,0.346     ,0.0619    ,     10000
      256,0.889     ,2.58      ,0.256     ,0.0467    ,     10000
      257,0.810     ,-1.98     ,0.359     ,0.0434    ,     10000
      258,0.794     ,-0.40     ,0.333     ,0.0402    ,     10000
      259,0.746     ,0.40      ,0.346     ,0.0532    ,     10000
      260,0.683     ,1.39      ,0.281     ,0.0445    ,     10000
      261,0.952     ,-0.99     ,0.076     ,0.0706    ,     10000
      262,0.794     ,-2.98     ,0.243     ,0.0402    ,     10000
      263,0.683     ,4.17      ,0.230     ,0.0739    ,     10000
      264,0.889     ,0.79      ,0.320     ,0.0532    ,     10000
      265,0.794     ,-2.18     ,0.217     ,0.0304    ,     10000
      266,0.698     ,-3.37     ,0.204     ,0.0315    ,     10000
      267,0.651     ,-0.40     ,0.050     ,0.0413    ,     10000
      268,0.857     ,0.60      ,0.436     ,0.0369    ,     10000
      269,0.571     ,0.20      ,0.217     ,0.0619    ,     10000
      270,1.063     ,1.39      ,0.101     ,0.0347    ,     10000
      271,0.968     ,1.59      ,0.410     ,0.0456    ,     10000
      272,0.746     ,0.79      ,0.371     ,0.0500    ,     10000
      273,0.841     ,1.19      ,0.294     ,0.0521    ,     10000
      274,0.730     ,-2.58     ,0.410     ,0.0206    ,     10000
      275,0.603     ,-1.39     ,0.461     ,0.0206    ,     10000
      276,0.794     ,-0.99     ,0.307     ,0.0413    ,     10000
      277,0.762     ,-0.60     ,0.320     ,0.0163    ,     10000
      278,0.825     ,0.99      ,0.256     ,0.0500    ,     10000
      279,0.651     ,1.39      ,0.384     ,0.0554    ,     10000
      280,1.079     ,3.17      ,0.474     ,0.0576    ,     10000
      281,0.762     ,1.79      ,0.294     ,0.0434    ,     10000
      282,0.778     ,-2.98     ,0.307     ,0.0293    ,     10000
      283,0.794     ,-0.40     ,0.230     ,0.0250    ,     10000
      284,0.667     ,0.00      ,0.294     ,0.0347    ,     10000
      285,0.810     ,1.59      ,0.191     ,0.0358    ,     10000
      286,0.635     ,-0.99     ,0.281     ,0.0347    ,     10000
      287,1.000     ,-1.19     ,0.410     ,0.0565    ,     10000
      288,0.794     ,0.79      ,0.217     ,0.0467    ,     10000
      289,0.762     ,2.58      ,0.359     ,0.0543    ,     10000
      290,0.587     ,0.79      ,0.307     ,0.0326    ,     10000
      291,0.540     ,-1.19     ,0.333     ,0.0391    ,     10000
      292,0.508     ,0.99      ,0.397     ,0.0413    ,     10000
      293,0.540     ,-2.18     ,0.230     ,0.0217    ,     10000
      294,0.794     ,-2.78     ,0.436     ,0.0532    ,     10000
      295,0.651     ,3.97      ,0.204     ,0.0532    ,     10000
      296,0.937     ,0.40      ,0.397     ,0.0663    ,     10000
      297,0.794     ,1.19      ,0.204     ,0.0358    ,     10000
      298,0.778     ,0.60      ,0.269     ,0.0445    ,     10000
      299,0.508     ,0.79      ,0.449     ,0.0315    ,     10000
      300,0.651     ,-0.79     ,0.256     ,0.0478    ,     10000
      301,0.698     ,0.00      ,0.114     ,0.0413    ,     10000
      302,0.873     ,2.58      ,0.204     ,0.0434    ,     10000
      303,0.937     ,2.38      ,0.166     ,0.0424    ,     10000
      304,0.857     ,3.57      ,0.127     ,0.0456    ,     10000
      305,0.746     ,2.98      ,0.256     ,0.0413    ,     10000
      306,0.952     ,-1.59     ,0.140     ,0.0358    ,     10000
      307,0.762     ,-0.20     ,0.384     ,0.0445    ,     10000
      308,0.762     ,-0.99     ,0.294     ,0.0434    ,     10000
      309,0.476     ,1.19      ,0.281     ,0.0347    ,     10000
      310,0.698     ,-1.98     ,0.359     ,0.0260    ,     10000
      311,0.698     ,0.00      ,0.384     ,0.0402    ,     10000
